ApplNo,ProductNo,Form,Strength,ReferenceDrug,DrugName,ActiveIngredient,ReferenceStandard,
000004,4,SOLUTION/DROPS;OPHTHALMIC,1%,0,PAREDRINE,HYDROXYAMPHETAMINE HYDROBROMIDE,0,
000159,1,TABLET;ORAL,500MG,0,SULFAPYRIDINE,SULFAPYRIDINE,0,
000552,1,INJECTABLE;INJECTION,"20,000 UNITS/ML",0,LIQUAEMIN SODIUM,HEPARIN SODIUM,0,
000552,2,INJECTABLE;INJECTION,"40,000 UNITS/ML",0,LIQUAEMIN SODIUM,HEPARIN SODIUM,0,
000552,3,INJECTABLE;INJECTION,"5,000 UNITS/ML",0,LIQUAEMIN SODIUM,HEPARIN SODIUM,0,
000552,4,INJECTABLE;INJECTION,"1,000 UNITS/ML",0,LIQUAEMIN SODIUM,HEPARIN SODIUM,0,
000552,5,INJECTABLE;INJECTION,"10,000 UNITS/ML",0,LIQUAEMIN SODIUM,HEPARIN SODIUM,0,
000552,7,INJECTABLE;INJECTION,100 UNITS/ML,0,LIQUAEMIN LOCK FLUSH,HEPARIN SODIUM,0,
000552,8,INJECTABLE;INJECTION,"1,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0,
000552,9,INJECTABLE;INJECTION,"5,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0,
000552,10,INJECTABLE;INJECTION,"10,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0,
000552,11,INJECTABLE;INJECTION,"1,000 UNITS/ML",0,LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM,0,
000552,12,INJECTABLE;INJECTION,"5,000 UNITS/ML",0,LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM,0,
000552,13,INJECTABLE;INJECTION,"10,000 UNITS/ML",0,LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM,0,
000734,1,INJECTABLE;INJECTION,EQ 1MG BASE/ML,0,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE,0,
000734,2,INJECTABLE;INJECTION,EQ 0.2MG BASE/ML,0,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE,0,
000734,3,INJECTABLE;INJECTION,EQ 0.1MG BASE/ML,0,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE,0,
000793,2,TABLET;ORAL,15MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,0,BUTISOL SODIUM,BUTABARBITAL SODIUM,0,
000793,3,TABLET;ORAL,50MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,0,BUTISOL SODIUM,BUTABARBITAL SODIUM,0,
000793,4,TABLET;ORAL,30MG,1,BUTISOL SODIUM,BUTABARBITAL SODIUM,0,
000793,5,TABLET;ORAL,100MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,0,BUTISOL SODIUM,BUTABARBITAL SODIUM,0,
001104,1,INJECTABLE;INJECTION,5MG/ML,0,DOCA,DESOXYCORTICOSTERONE ACETATE,0,
001504,1,UNKNOWN,UNKNOWN,0,VERARD,VERARD,0,
001546,1,TABLET;ORAL,125MG,0,GUANIDINE HYDROCHLORIDE,GUANIDINE HYDROCHLORIDE,0,
002139,3,TABLET;ORAL,5MG,0,MENADIONE,MENADIONE,0,
002282,1,INJECTABLE;INJECTION,100MG/ML,0,INULIN AND SODIUM CHLORIDE,INULIN,0,
002386,2,TABLET;ORAL,100MG,0,AMINOPHYLLIN,AMINOPHYLLINE,0,
002386,3,TABLET;ORAL,200MG,0,AMINOPHYLLIN,AMINOPHYLLINE,0,
002918,1,POWDER;TOPICAL,33.32%,0,BENSULFOID,SULFUR,0,
003158,1,TABLET;ORAL,10MG,0,ORETON METHYL,METHYLTESTOSTERONE,0,
003158,2,TABLET;ORAL,25MG,0,ORETON METHYL,METHYLTESTOSTERONE,0,
003240,1,"TABLET;BUCCAL, SUBLINGUAL",10MG,0,METANDREN,METHYLTESTOSTERONE,0,
003240,3,"TABLET;BUCCAL, SUBLINGUAL",25MG,0,METANDREN,METHYLTESTOSTERONE,0,
003240,4,"TABLET;BUCCAL, SUBLINGUAL",5MG,0,METANDREN,METHYLTESTOSTERONE,0,
003240,5,"TABLET;BUCCAL, SUBLINGUAL",10MG,0,METANDREN,METHYLTESTOSTERONE,0,
003402,1,INJECTABLE;INJECTION,5PRESSOR UNITS/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,1,PITRESSIN TANNATE,VASOPRESSIN TANNATE,0,
003444,1,CAPSULE;ORAL,"50,000 IU",1,DRISDOL,ERGOCALCIFEROL,1,
003718,4,INJECTABLE;INJECTION,5MG/ML,0,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE,0,
003718,6,INJECTABLE;INJECTION,10MG/ML,0,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE,0,
003718,8,INJECTABLE;INJECTION,37.5MG/ML,0,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE,0,
